ecmdb_id,name,kegg_id,bigg_id,conc_mM,raw_conc,condition,ref
ECMDB22655,CL(18:1(9Z)/14:0/14:0/18:1(9Z)),,,4.261e-05,0.04261± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22656,CL(18:1(9Z)/14:0/14:0/19:0cycv8c),,,3.637e-05,0.03637± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22657,CL(18:1(9Z)/14:0/14:0/17:0cycw7c),,,3.562e-05,0.03562± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22658,CL(18:1(9Z)/14:0/14:0/14:0),,,4.668e-05,0.04668± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22660,CL(19:0cycv8c/15:0cyclo/15:0cyclo/17:0cycw7c),,,8.548e-05,0.08548± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22661,CL(19:0cycv8c/15:0cyclo/15:0cyclo/14:0),,,5.9459999999999997e-05,0.05946± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22662,CL(19:0cycv8c/15:0cyclo/16:0/19:0cycv8c),,,8.15e-05,0.0815± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22665,CL(19:0cycv8c/15:0cyclo/16:1(9Z)/19:0cycv8c),,,4.948e-05,0.04948± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22668,CL(19:0cycv8c/15:0cyclo/18:1(9Z)/19:0cycv8c),,,5.842e-05,0.05842± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22671,CL(19:0cycv8c/15:0cyclo/19:0cycv8c/19:0cycv8c),,,0.00012556999999999998,0.12557± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
